,correct regex,faulty regex
58,"((dog)|((.).*([A-Za-z]).*)){2,}",((dog)|(.)).*([A-Za-z]).*
59,"([0-9].*[A-Za-z].*){6,}",([0-9]).*([A-Za-z]).*
60,"([a-z].*[A-Z].*){3,}","(.*[a-z].*){3,}"
61,"(dog.*[A-Z].*){3,}","(dog).*(([A-Z]){3,}).*"
62,(([A-Z])|(([0-9]).*([a-z]).*))+,(([A-Z])|([0-9])).*(([a-z])+).*
63,"(([a-z])|([0-9])){2,}",([A-Za-z]).*(([0-9])+).*
64,"[F-H]\\d{1,3}[K-M]{2}\\w{1,2}.*",[A-C]\\d[ D-F]{2}.*
65,(.*)([a-z]),(.*)([a-z].*[a-z].*)
66,".*([0-9]).*(([A-Z]){4,}).*.*",(.*[0-9].*).*([A-Z]).*
67,"([A-Z]).*(([a-z]){2,}).*","([A-Z].*[a-z].*){2,}"
68,(dog).*((truck)|([A-Z])|(ring)).*,((dog)|([A-Z])|(truck)).*([A-Z]).*
69,([A-Z]).*((dog)|([0-9])|(truck)).*,(([A-Z])|(dog)|(truck)).*([A-Z]).*
70,(((.*)(dog))|([a-z]))+,((.*)((dog)|([a-z])))+
71,"(([a-z].*[0-9].*){3,}).*([A-Z]).*",([a-z].*[0-9].*).*([A-Z]).*
72,([A-Za-z]).*(([A-Z])+).*,(([A-Za-z])|([A-Z]))+
73,.*((dog).*(truck).*)|(ring).*,(dog).*(([A-Za-z])|(truck)).*
74,([a-z].*[AEIOUaeiou].*)(.*),(.*)(.*[A-Za-z].*)
75,(.).*(([A-Z])*).*,(..*[A-Z].*)*
76,(.).*(([A-Z])|(dog)|(truck)).*,(([A-Z])|(dog)|(truck)).*(.).*
77,"(((dog)|(truck)){5,})(.*)","((dog)(.*))|((truck){5,})"
78,((.)+).*([A-Z]).*,([A-Za-z].*..*)+
79,(.*(dog)*.*).*([A-Z]).*,(dog.*[A-Z].*)*
80,((.*)([a-z])).*([0-9]).*,([0-9]).*((.*)([a-z])).*
81,".*.{2,}.*",.*[A-Z].*
82,(([A-Z])(.*))|(([a-z]).*([0-9]).*),(([0-9])(.*))|(([A-Z])|([a-z]))
83,([0-9].*[A-Za-z].*)(.*),(([0-9])(.*)).*([0-9]).*
84,(.*([A-Za-z]).*(dog).*.*)*,([A-Za-z]).*((dog)*).*
85,(([a-z])|(.)).*([A-Za-z]).*,(([a-z])|([A-Za-z])).*(.).*
86,(([A-Za-z])*).*([AEIOUaeiou]).*,([A-Za-z]).*(([AEIOUaeiou])*).*
87,([AEIOUaeiou]).*([A-Z].*[a-z].*).*,([A-Z]).*([A-Z]).*
88,(([A-Z])(.*)).*((dog)|(truck)).*,(([A-Z])(.*))|((dog)|(truck))
89,(.*f.*){7},.*f.*
90,((dog)(.*)).*([a-z]).*,([a-z]).*([a-z]).*
91,.*(.*b.*){3}.*,.*b.*
92,(..*[A-Z].*).*(dog).*,(.).*(([A-Z])+).*
93,(((dog)|(truck))(.*)).*(ring).*,((dog)|(truck))(.*)
94,"(([0-9]){2,}).*([A-Za-z]).*","(([0-9]){2,}).*([0-9]).*"
95,(((.).*(dog).*)|([a-z]))*,((dog)*).*((dog)|([a-z])).*
96,([a-z].*[0-9].*)*,(([0-9])*).*([a-z]).*
97,"(dog).*(([A-Z]){6,}).*","((dog){6,}).*([A-Z]).*"
98,((dog)+)|(truck.*[A-Z].*),((dog)|(dog)).*([A-Z]).*
99,"(.).*(([A-Z]){7,}).*","((.){7,}).*([A-Z]).*"
100,"(..*[0-9].*){7,}","((.){7,}).*([0-9]).*"
101,(([a-z])|([A-Z].*[AEIOUaeiou].*))*,(([a-z])|([A-Z]))*
102,[A-Za-z],[A-Za-z]*
103,X[0-9][a-z][^B-Wb-w][0-9],X[0-9][a-z][A-Z0-9a-z][0-9]
104,(([A-Z])*).*((.*)(dog)).*,([A-Z]).*(((.*)(dog))*).*
105,(.).*([A-Z]).*,([A-Z]).*(.).*
106,"((([a-z]){5,})|(dog))(.*)",(([a-z])(.*))|((dog)(.*))
107,".*.{5,}.*",.*.{4}.*
108,".*.{4,}.*",.*.{3}.*
109,"([AEIOUaeiou]).*((.){3,}).*","((.){3,}){3}"
110,"([a-z].*..*){7,}","([a-z]){7,}"
111,[a-z]*,[A-Z]*
112,"([0-9].*[AEIOUaeiou].*){2,}","([0-9]){2,}"
113,"(..*[a-z].*){6,}","(.){6,}"
114,(ab[0|9]|abc[0|9]),(ab[0-9]|abc[0-9])
115,p[^1-8][A-Z]q,p..q
